Generation : 1
Similarity : 0.289474 

Generation : 2
Similarity : 1.375000 

Generation : 3
Similarity : 3.335526 

Generation : 4
Similarity : 4.296053 

Generation : 5
Similarity : 6.513158 

Generation : 6
Similarity : 8.815789 

Generation : 7
Similarity : 10.407895 

Generation : 8
Similarity : 10.967105 

Generation : 9
Similarity : 11.157895 

Generation : 10
Similarity : 11.381579 

Generation : 11
Similarity : 11.782895 

Generation : 12
Similarity : 11.736842 

Generation : 13
Similarity : 12.986842 

Generation : 14
Similarity : 14.013158 

Generation : 15
Similarity : 16.302632 

Generation : 16
Similarity : 19.690789 

Generation : 17
Similarity : 21.546053 

Generation : 18
Similarity : 21.657895 

Generation : 19
Similarity : 20.631579 

Generation : 20
Similarity : 21.756579 

Generation : 21
Similarity : 23.855263 

Generation : 22
Similarity : 25.750000 

Generation : 23
Similarity : 28.684211 

Generation : 24
Similarity : 32.611842 

Generation : 25
Similarity : 35.065789 

Generation : 26
Similarity : 35.572368 

Generation : 27
Similarity : 37.144737 

Generation : 28
Similarity : 40.065789 

Generation : 29
Similarity : 43.625000 

Generation : 30
Similarity : 44.881579 

Generation : 31
Similarity : 45.473684 

Generation : 32
Similarity : 46.868421 

Generation : 33
Similarity : 46.500000 

Generation : 34
Similarity : 45.052632 

Generation : 35
Similarity : 45.401316 

Generation : 36
Similarity : 44.960526 

Generation : 37
Similarity : 43.513158 

Generation : 38
Similarity : 42.072368 

Generation : 39
Similarity : 42.460526 

Generation : 40
Similarity : 40.427632 

Generation : 41
Similarity : 37.375000 

Generation : 42
Similarity : 35.309211 

Generation : 43
Similarity : 33.078947 

Generation : 44
Similarity : 32.401316 

Generation : 45
Similarity : 31.677632 

Generation : 46
Similarity : 32.822368 

Generation : 47
Similarity : 33.907895 

Generation : 48
Similarity : 34.875000 

Generation : 49
Similarity : 35.743421 

Generation : 50
Similarity : 37.572368 

Generation : 51
Similarity : 39.460526 

Generation : 52
Similarity : 39.046053 

Generation : 53
Similarity : 40.085526 

Generation : 54
Similarity : 41.953947 

Generation : 55
Similarity : 43.236842 

Generation : 56
Similarity : 44.585526 

Generation : 57
Similarity : 46.072368 

Generation : 58
Similarity : 44.493421 

Generation : 59
Similarity : 44.750000 

Generation : 60
Similarity : 44.440789 

Generation : 61
Similarity : 42.763158 

Generation : 62
Similarity : 41.118421 

Generation : 63
Similarity : 41.401316 

Generation : 64
Similarity : 43.092105 

